Date,Symbol,Company,Type,Split Ratio
2025-03-07,IMII,Inception Mining,Reverse,1 for 1000.00
2025-03-07,RETO,Reto Eco-Solutions,Reverse,1 for 10.00
2025-03-07,TIVC,"Tivic Health Systems, Inc.",Reverse,1 for 17.00
2025-03-06,STMGF,Stamper Oil & Gas Corp,Reverse,1 for 10.00
2025-03-05,BITRF,Biotron Limited,Forward,1.00 for 1
2025-03-05,TR,"Tootsie Roll Industries, Inc.",Forward,0.97 for 1
2025-03-04,VERO,Venus Concept,Reverse,1 for 11.00
2025-03-03,BLNE,Eastside Distilling Inc,Reverse,1 for 10.00
2025-03-03,EDBL,"Edible Garden AG , Inc.",Reverse,1 for 25.00
2025-03-03,STBX,Starbox Group Holdings Ltd.,Reverse,1 for 10.00
2025-03-03,CLEU,China Liberal Education Holdings Ltd,Reverse,1 for 80.00
2025-03-03,LICN,Lichen China Ltd. Class A,Reverse,1 for 200.00
2025-02-28,CHKKF,Chakana Copper Corp,Reverse,1 for 10.00
2025-02-28,WECFF,White Energy Company Limited,Forward,1.00 for 1
2025-02-28,FNRN,First Northern Community Bancorp,Forward,0.95 for 1
2025-02-28,IX,Orix Corp Ads,Forward,0.20 for 1
2025-02-26,KPTI,Karyopharm Therapeutics INC,Reverse,1 for 15.00
2025-02-26,AEON,"Aeon Biopharma, Inc.",Reverse,1 for 72.00
2025-02-26,APTO,Aptose Biosciences,Reverse,1 for 30.00
2025-02-25,RHCGF,Ryman Healthcare ,Forward,0.93 for 1
2025-02-25,SXTC,China Sxt Pharmaceuticals,Reverse,1 for 8.00
2025-02-25,UPBMF,United Plantations Bhd,Forward,0.67 for 1
2025-02-25,LODE,Comstock Mining,Reverse,1 for 10.00
2025-02-25,HEGLF,Peak Minerals Limited,Forward,1.00 for 1
2025-02-24,HWH,Hwh International Inc.,Reverse,1 for 5.00
2025-02-24,SXTP,"60 Degrees Pharmaceuticals, Inc.",Reverse,1 for 5.00
2025-02-24,GRI,"Gri Bio, Inc.",Reverse,1 for 17.00
2025-02-24,SOAR,"Volato Group, Inc.",Reverse,1 for 25.00
2025-02-21,CNSP,"Cns Pharmaceuticals, Inc.",Reverse,1 for 50.00
2025-02-21,SVRE,SaverOne 2014 Ltd. ADR,Reverse,1 for 13.33
2025-02-21,WINT,Windtree Therapeutics Inc,Reverse,1 for 50.00
2025-02-20,CHWRF,China Tower Corporation,Reverse,1 for 10.00
2025-02-19,KNWN,"Know Labs, Inc.",Reverse,1 for 40.00
2025-02-19,HTHIY,Hitachi Ltd,Forward,0.50 for 1
2025-02-18,OTLY,Oatly Group Ab,Reverse,1 for 20.00
