Ticker,Error Message,Timestamp,Type,Primary Exchange
AACT.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
AAM.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
AAXN,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNAS
ABC,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNYS
ABRpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ABRpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ABRpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ABX,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNYS
ACHR.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
ACIM,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,INDEX,ARCX
ACPpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ACRpC,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ACRpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ACWF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,INDEX,ARCX
ADCpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ADS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNYS
AGMpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AGMpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AGMpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AGMpG,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHHpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHLpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHLpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHLpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNYS
AHTpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHTpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHTpG,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHTpH,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AHTpI,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ALBpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,SP,XNYS
ALLpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ALLpH,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ALLpI,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ALLpJ,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ALTGpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AMBP.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
AMHpG,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AMHpH,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AMPX.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XNYS
ANGpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ANGpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ANTM,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,CS,XNYS
AP.WS,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,WARRANT,XASE
APOpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,SP,XNYS
ARESpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,SP,XNYS
ARGOpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ARRpC,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ARTN.A,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,N/A,XNAS
ASBpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ASBpF,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATCOpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATCOpH,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATHpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATHpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATHpC,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATHpD,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
ATHpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AUBpA,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
AXSpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpB,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpE,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpK,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpL,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
BACpM,"OpenApiException: OpenApiException: (code=301600, trace_id=) invalid symbol",2025-03-18T14:11:45.326308,PFD,XNYS
